name,calories,proteins,lipids,carbs,fibers,userId,
Ciocco latte Dr.Oetker,103,4,3,14,1,admin,
Ciocolata calda,353,6,12,59,0,admin,
Ciocolata calda dark Hot Chocolatta La Festa,373,7,6,78,5,admin,
Ciocolata calda Hot Choco Doncafe,380,6,6,81,5,admin,
Ciocolata calda la plic La Festa,391,5,5,78,5,admin,
Coca Cola Cherry,45,0,0,11,0,admin,
Coca-cola,42,0,0,11,0,admin,
Coca-Cola light,1,0,0,0,0,admin,
Coca-Cola Zero,0,0,0,0,0,admin,
Cocktail fara alcool Mojito Delhaize,42,0,0,11,0,admin,
Coffee light Frappuccino Starbucks,44,0,0,10,0,admin,
Concentrat Cappuccino Classico Melitta,379,6,4,77,0,admin,
Coniac 40%,239,0,0,0,0,admin,
Coniac Milcov,220,0,0,2,0,admin,
Doncafe IceCoffee Mint,369,19,1,71,0,admin,
Doza de cafea Expresso Machiato Cortado Dolce Gusto,353,19,17,25,12,admin,
Energizant berry Burn,45,0,0,11,0,admin,
Energizant Fire Bird,44,1,0,11,1,admin,
Energizant light CrazyWolf,4,0,0,0,0,admin,
Energizant Planet Energy,46,0,0,11,0,admin,
Energizant tropical XS Amway,2,0,0,1,0,admin,
Energizant XL,47,0,0,11,0,admin,
Fanta cu gust de zmeura si fructul pasiunii,43,0,0,11,0,admin,
Fanta madness de struguri,55,0,0,14,0,admin,
Fanta portocale,46,0,0,15,0,admin,
Fanta portocale cutie,42,0,0,10,0,admin,
Fanta portocale Zero,3,0,0,0,0,admin,
Frappuccino light cu caramel Starbucks,41,2,0,8,1,admin,
Freddo cappucino Dolce Gusto,314,15,5,45,12,admin,
Gemuse Saft Real,17,1,0,3,0,admin,
Gin,263,0,0,0,0,admin,
Ginger Beer Bundaberg,44,1,1,11,0,admin,
Ice Coffee Jacobs,415,8,12,71,0,admin,
Ice coffee Mint Doncafe,369,19,1,71,0,admin,
Ice Tea ceai verde light Sun Gold,1,0,0,0,0,admin,
Ice tea de lamaie Lipton,26,0,0,7,0,admin,
Ice Tea Green Tea Mint Lipton,28,0,0,7,0,admin,
Ice Tea lemon light Sun Gold,1,0,0,0,0,admin,
Ice Tea Lemon San Benedetto,34,0,0,8,0,admin,
Ice Tea Nestea Fructe de Padure,33,0,0,8,0,admin,
Ice Tea Nestea Lamaie,32,0,0,8,0,admin,
Ice tea Nestea Vitao,50,0,0,12,0,admin,
Ice Tea piersici light Sun Gold,1,0,0,0,0,admin,
Ice Tea piersici Nestea,29,0,0,7,0,admin,
Ice tea Swiss cannabis C-Ice,30,0,0,8,0,admin,
Ice Tea zmeura Lipton,30,1,0,7,0,admin,
Ice Tea zmeura Lipton,20,1,1,5,1,admin,
Indulcitor lichid Substoff DM,1,0,0,0,0,admin,
Inlocuitor de cafea solubila Orzo Casa Blanca,363,7,0,79,9,admin,
Isotonic Sport Drink Oshee,24,0,0,6,0,admin,
Jack Daniels,222,0,0,0,0,admin,
Jagermeister,343,0,0,11,0,admin,
Kaffee Latte Macchiato Muller,82,3,3,10,0,admin,
Lapte 16% Aldi R,44,3,2,5,0,admin,
Lapte cu cacao si alune de padure Pilos,88,4,2,13,0,admin,
Lapte cu cacao si gust de ciocolata Zuzu,66,3,2,10,0,admin,
Lapte de cocos Leader Price,243,2,25,3,0,admin,
Lapte de cocos si migdale Alpro,24,0,1,3,0,admin,
Lapte de migdale neindulcit Alpro,13,0,1,0,0,admin,
Lapte de ovaz Alpro,44,0,2,7,1,admin,
Lapte de soia cu ciocolata Soya Choco Provamel,83,4,2,11,0,admin,
Lapte de soia Sanitarium Lite,41,3,1,5,0,admin,
Lapte de soia si orez Sole Natura,50,2,2,5,0,admin,
Lapte de soia simplu Alpro,43,3,0,3,0,admin,
Lapte din soia aroma de portocale Inedit,36,2,1,4,0,admin,
Lapte din soia simplu Inedit,18,2,1,0,0,admin,
Lapte din soia Soyaccino Sanitarium,57,3,2,8,0,admin,
Lapte migdale Monsoy,60,1,2,10,0,admin,
Lapte orez si migdale Joya,73,1,0,13,1,admin,
Lapte proaspat 15% Paco,45,3,2,5,0,admin,
Lapte soia light Alpro,27,2,1,2,1,admin,
Lapte soia natur Delhaize,39,3,2,0,1,admin,
Lapte soia original Alpro,38,3,2,3,1,admin,
Lapte soia Sanitarium,65,3,3,5,0,admin,
Latte machiatto caramel Dolce Gusto,70,13,0,0,0,admin,
Lichior absint,234,0,0,10,0,admin,
Lichior de fructe,215,0,0,28,0,admin,
Lichior Irish Cream Baileys,350,3,16,20,0,admin,
Licior de lamaie Limoncello,240,3,3,40,0,admin,
Limonata lamaie si grapefruit Tymbark,30,0,0,8,0,admin,
Martini,243,0,0,2,0,admin,
Milk shake de capsuni,113,3,3,19,0,admin,
Milkshake cu ciocolata,127,3,4,21,2,admin,
Milkshake cu gust de ciocolata Dr.Oetker,107,3,4,15,1,admin,
Mojito Mega Image,42,0,0,11,0,admin,
Must din struguri,127,0,0,28,0,admin,
Must fara alcool Castillo,13,0,0,3,0,admin,
Nectar caise Delice,56,0,0,14,0,admin,
Nectar de caise Gusturi Romanesti,58,1,0,13,3,admin,
Nectar de coacaze negre Solevita,56,0,1,13,0,admin,
Nectar de fructe Danfruit Multifruct,40,0,0,10,0,admin,
Nectar de grapefruit Cappy,98,0,0,23,0,admin,
Nectar de gutui Santal,45,0,0,10,1,admin,
Nectar de maracuya Don Simon,52,0,0,13,0,admin,
Nectar de pere Santal,57,0,0,14,1,admin,
Nectar de piersici Belsina Plus,60,0,0,14,0,admin,
Nectar de piersici Prigat,52,0,0,14,0,admin,
Nectar de portocale Ciao,50,0,0,12,0,admin,
